id,slug,name,status,note
2d47f733-ba85-4803-af22-091d30537112,abraham-bieber,Abraham Bieber,queued,
779f68eb-d9d4-4a63-8a5b-fef8c4dec9a0,abraham-bolden,Abraham Bolden,queued,
27f16c96-5a7e-4455-9705-20f379725480,abraham-cisneros,Abraham Cisneros,queued,
3e3811cf-a5d1-4910-bf58-fb5b8847838f,abraham-elijah-jenkins,Abraham Elijah Jenkins,queued,
d541e290-9bb3-4fea-a704-785860940df9,abraham-f-neufeld,Abraham F. Neufeld,queued,
99eb2686-f1d8-4feb-b50d-2b50d3909c2a,abraham-gelerter,Abraham Gelerter,queued,
2d4e0c53-2b5f-4516-bafc-165795511ce9,abraham-goertz,Abraham Goertz,queued,
f64dcbc4-ab6b-400e-8f1f-04ce3c454708,abraham-heller,Abraham Heller,queued,
050ee5cd-612c-4fc8-be0a-4cbe397e78b8,abraham-jesse-wingert,Abraham Jesse Wingert,queued,
410b2191-e671-4fcd-8174-6f0ed2065c4b,abraham-l-sugarman,Abraham L. Sugarman,queued,
5ba0d932-9bdf-48a4-8498-72f2232ce094,abraham-neuenschwander,Abraham Neuenschwander,queued,
04cf02b2-c318-43ac-ab71-d86ad47b8c21,abraham-salcido,Abraham Salcido,queued,
85f979ed-ab27-48ca-9390-7fb4f7f1eac9,abraham-schwartz,Abraham Schwartz,queued,
123b01c1-cfda-4fbd-b627-071e526ffdc3,abraham-shocker,Abraham Shocker,queued,
4dfcdef8-c096-43d2-935b-03703ee98634,abraham-unger,Abraham Unger,research_pending,Initial encyclopedia image-index search completed; no verified portrait selected. Broader research remains.
01b8cea7-dd1d-48e1-a4d8-5b61029a456d,abraham-w-penner,Abraham W. Penner,queued,
a07625b0-78e8-42e2-8267-49382b3d7cb1,abram-flaxer,Abram Flaxer,queued,
d24881d5-8e21-47ed-90b4-b839d4a88295,abram-snikarenko,Abram Snikarenko,queued,
d87676d2-a0bb-438d-a14c-f5fc85c1fe43,ada-louise-davenport-kendall,Ada Louise Davenport Kendall,queued,
f7a5ffbc-11db-467e-9b52-613ddf1a14ed,adalberto-serrano,Adalberto Serrano,queued,
e558e053-9fd8-469d-bd40-456d445d4083,adam-blackwell,Adam Blackwell,queued,
0604d04e-19ff-49c2-a110-39522c3ee6c2,adam-getto,Adam Getto,queued,
2b48d869-a2c1-4d80-a9cf-2401e528ed4b,adam-moleski,Adam Moleski,queued,
a0d11400-c8d4-48f9-8d6e-6ac523bf8038,adam-susnowics,Adam Susnowics,queued,
84731b82-37b2-435c-8cf7-80ab448d23f8,adam-troy-peace,Adam Troy Peace,queued,
85015856-68d9-4194-b7f2-7cfc5b429675,addis-ababa,Addis Ababa,queued,
4d917d83-62ec-4225-acac-b19d31e9238f,aden-e-heckman,Aden E. Heckman,queued,
b6427d7b-0ac7-486e-93fb-74058e79a47f,adham-hassoun,Adham Hassoun,queued,
bf4e3f66-7fa9-44ba-b19a-cb6257829785,adion-bryn-mallett,Adion Bryn Mallett,queued,
becdb6b1-a5ac-4144-abca-61b6a4d48a78,adolf-olehnovich,Adolf Olehnovich,queued,
c6ce2c93-c7ff-4589-9996-a29e95c2125f,adolf-wisnefsky,Adolf Wisnefsky,queued,
f7f3f22e-2b3f-4441-b2aa-9732a5432793,adolf-wisnesski,Adolf Wisnesski,queued,
acca4416-e802-47a4-83fd-dfb203523ec4,adolfo-frattesi,Adolfo Frattesi,queued,
9f4e2e89-7816-4c44-83ab-81ef5b4a9bd8,adolfo-matos-antongiorgi,Adolfo Matos Antongiorgi,queued,
daa00850-a5ba-4ef6-8965-ad9e9d140fc7,adolph-f-younger,Adolph F. Younger,queued,
daf75ee6-19ac-4acc-96eb-8f921a849377,adolph-heller,Adolph Heller,queued,
bb24f4da-6e38-44ff-85b1-89c2713aa6fb,adolph-l-yanyar,Adolph L. Yanyar,queued,
c254a687-b94b-43df-ab80-78d9dafc991c,adolph-wagner,Adolph Wagner,queued,
03c61fc4-36e3-46d5-b854-19c7d09d6c75,adrian-andrew-martinez,Adrian Andrew Martinez,queued,
3c375c96-3dcf-40c6-b8c4-846e818edf44,adrian-wood,Adrian Wood,queued,
fbc939dd-70b0-4d6a-b79b-24c6338339d0,afanasy-severny,Afanasy Severny,queued,
352ede10-1ae7-42c3-af79-b5b2cf973029,afanasy-timonatnko,Afanasy Timonatnko,queued,
754cb899-fcf5-419e-8678-eaad938a32a9,aftanasy-litvakoff,Aftanasy Litvakoff,queued,
3bc8bc8f-8fe3-431c-8757-936ea7159fc9,aggi-molochko,Aggi Molochko,queued,
e094ddb4-5e99-40a3-9865-7bcbafe8476b,agnes-bauerlein,Agnes Bauerlein,queued,
1e4e3b72-03fe-40f2-94de-0409fd5a33f5,agustin-calvillo,Agustin Calvillo,queued,
99ea4a1b-2c32-44ef-a851-76f94570ea90,agustin-lebron,Agustin Lebrón,queued,
5f2fbff4-223c-4b78-8513-38b9f0469426,ahlam-mohsen,Ahlam Mohsen,research_pending,Initial encyclopedia image-index search completed; no verified portrait selected. Broader research remains.
78b0a086-ece2-4893-a8c5-a4bcf377bbf3,aida-yagmur-aston,Aida Yagmur Aston,queued,
180be3d9-51ab-463b-ba62-1006af416221,aisha-buckner,Aisha Buckner,queued,
c05cc622-31da-40d4-a6a6-bb9053231d71,aisha-salim,Aisha Salim,queued,
b806349c-d32a-46e8-a37f-0266070eeb45,akil-al-jundi,Akil Al-Jundi,queued,
2e853b86-67e8-47cb-9360-60a37ede66d4,akram-abdallah,Akram Abdallah,queued,
c4b3fd57-bfa2-443e-ae68-6777a66bac52,al-bridges,Al Bridges,queued,
e3f8b539-b440-49bb-881c-ad6fd873b5d1,al-fisher,Al Fisher,queued,
32be2d99-8133-4874-a7f8-b51b69d0503f,al-larcinese,Al Larcinese,queued,
e4a33469-44ff-4db8-a07a-4c9e020360f1,al-m-talaga,Al M. Talaga,queued,
2e1d97ad-514e-4cd0-af98-88b43e4130fc,al-mcbride,Al McBride,queued,
b26f09af-b4f0-44f7-b3da-870157b56160,al-mcsurely,Al McSurely,queued,
89519e29-29e1-4166-bf32-393340a72a97,al-nygren,Al Nygren,queued,
a942bb39-89a9-49cb-b6e5-1c9341afe4bc,al-shidler,Al Shidler,queued,
270c38b4-e49e-453a-9cba-9eb8c900d044,al-zook,Al Zook,queued,
17327472-f2d6-463b-af52-d6968c210f93,alam-zeb,Alam Zeb,queued,
9c48ca86-807b-4cad-a5c9-2666633c6418,alan-holliday,Alan Holliday,queued,
2cacabe5-2702-4e96-bc7f-e8338746583d,alba-galeotti,Alba Galeotti,queued,
f2369ff2-30e9-4ceb-b5f0-f965f6086ad2,albert-b-prashner,Albert B. Prashner,queued,
55fa4fdf-151d-401b-8fcc-688628860e69,albert-barr,Albert Barr,queued,
0cda6089-448e-4478-ae4b-4a7448a22256,albert-brooks,Albert Brooks,queued,
0c3e41b5-3c85-4da1-ac83-5782e10aead3,albert-brown,Albert Brown,queued,
e8df4194-74f8-4fa5-a25a-f6ea9b4da390,albert-cornelius-voth,Albert Cornelius Voth,queued,
b8eeb395-6fbd-4214-a31f-a181563d0968,albert-d-wright,Albert D. Wright,queued,
4a5b82a2-9e6b-4733-b7e4-f571c98e3850,albert-duane-swift,Albert Duane Swift,queued,
8eab752e-588f-4716-a857-72aab1d5bc2f,albert-e-maken,Albert E. Maken,queued,
02c92864-7f3c-4416-8d4d-e9388a1c17e7,albert-earl-lassiter,Albert Earl Lassiter,queued,
fdef63e9-953d-421c-8b92-f97976f34076,albert-eberlie,Albert Eberlie,queued,
81911119-09ba-44cb-83f7-523a8b3db0bf,albert-giles,Albert Giles,queued,
7b46be5a-c31a-4dc4-a377-3df2702700fe,albert-hedar,Albert Hedar,queued,
c39141a9-b019-4d06-8e36-b568c3847858,albert-hougardy,Albert Hougardy,queued,
83a96620-269d-4290-ab68-bf855dc3f801,albert-j-bloss,Albert J. Bloss,queued,
a1343600-f40d-465a-a2e5-5348355fa8f7,albert-kalzenbuch,Albert Kalzenbuch,queued,
f9509c84-dae0-4581-b4cb-14bfdfbfef8c,albert-l-simmons,Albert L. Simmons,queued,
66d40f40-b989-4932-a687-abf27c8cbfe1,albert-lima,Albert Lima,queued,
1582ae94-d119-4488-997f-ba8e018663f8,albert-lowery-grabill,Albert Lowery Grabill,queued,
e601a77e-4f04-4e06-b61c-ac694991e388,albert-osborn,Albert Osborn,queued,
b9e28d06-db3b-4d10-a465-1678f9b0201f,albert-pezatti,Albert Pezatti,queued,
7925b6bf-807a-4d95-8568-a234bebdcac7,albert-rasimavicius,Albert Rasimavicius,queued,
855983a9-bc1c-416f-80c1-c6d2ae348a71,albert-s-nussbaum,Albert S. Nussbaum,queued,
a130744f-a805-4909-9377-1ef73482b8c2,albert-schultz,Albert Schultz,queued,
08f1b81c-2329-464f-b910-6ee7c1a5323a,albert-shadowitz,Albert Shadowitz,research_pending,Initial encyclopedia image-index search completed; no verified portrait selected. Broader research remains.
3b656f63-4de0-4f06-95bb-d76eaf790372,albert-skinner,Albert Skinner,queued,
9ab88e9f-fc26-4b48-b331-412759dfa478,albert-strangeland,Albert Strangeland,queued,
ab8c97ef-0dde-4d95-9727-2b43f526c2ae,albert-wilfred-fullwood,Albert Wilfred Fullwood,queued,
2ae52f2e-51d2-46e5-9ac5-2e37050237d1,albert-wilhelm-walter,Albert Wilhelm Walter,queued,
bc23e516-162b-47b9-8eac-29ba4f58d304,albert-wong,Albert Wong,queued,
e5fe23ea-aec5-41cc-8ea1-ef2451cff6e0,alberta-wicker-africa,Alberta Wicker Africa,queued,
af997188-adb6-44e6-a00d-5974ec473fbf,alberto-aranda,Alberto Aranda,queued,
6e67e573-71eb-4112-aa13-0a37e8be1da8,alberto-fuentes,Alberto Fuentes,queued,
7a703435-0535-46de-b385-39049100fe6f,alberto-ortiz,Alberto Ortiz,queued,
deb8d486-d154-4dbe-bb57-cbd2a45cba6e,alberto-rodriguez,Alberto Rodríguez,queued,
b925f3c9-f635-45d0-aeb6-184d69c4b84b,alberto-vazquez,Alberto Vázquez,queued,
aa9b6610-e0c0-4c05-942f-1d7eba8c7fe2,alberto-de-jesus,Alberto de Jesús,queued,
d93d0745-08dd-4c2c-8eb0-3b501f64d5ed,alberto-de-jesus-berrios,Alberto de Jesús Berríos,queued,
da47f3e8-ed16-471a-8f66-5e7b5c30e1e7,albin-bratland,Albin Bratland,queued,
f84f9442-26bd-410e-b584-d93e735d1857,albin-r-wolfe,Albin R. Wolfe,queued,
993caff7-4566-4e17-8869-f14b8c55f69f,alejandrina-torres,Alejandrina Torres,queued,
aaaebb6e-60a1-495c-af44-124f1a7725de,alejandro-avalos,Alejandro Avalos,queued,
56564749-3d96-40a5-b1c9-30c120074f03,alejandro-morales,Alejandro Morales,queued,
6ec65168-e289-4438-918e-d0bfab23ce07,alejandro-palacios-rengifo,Alejandro Palacios Rengifo,queued,
e9942927-d2a5-42d4-9769-ec879939a204,alek-grigorov-kuchinsky,Alek Grigorov Kuchinsky,queued,
b4e90b17-e289-4121-ad13-2667efa874bb,aleksandr-ivanovich-batura,Aleksandr Ivanovich Batura,queued,
15915554-fe05-45a5-9fa4-7617adabaf2b,aleksandr-konon,Aleksandr Konon,queued,
3b740535-ad24-4042-a4f6-1601af91151f,alex-chasley,Alex Chasley,queued,
a3bdef59-ac85-4d1a-af8f-66ae8c583998,alex-chessman,Alex Chessman,queued,
06a51696-eee2-47df-9553-d8881fefdee8,alex-danilevich,Alex Danilevich,queued,
62326b8c-0fb0-402d-b616-86dae99d0f96,alex-dulchewski,Alex Dulchewski,queued,
da0244f1-51c5-4430-850d-e4cc05a2ab2c,alex-harrison,Alex Harrison,queued,
54a2d2d4-5d66-4c6a-896f-896cac82ed56,alex-jason-hall,Alex Jason Hall,queued,
cc8c7265-ba4f-4411-9e1c-9651f22dbc4d,alex-kiriluk,Alex Kiriluk,queued,
6d9ea0ef-a593-44cf-8b2b-1e7e08596f50,alex-kostamacha,Alex Kostamacha,queued,
fa8c00cd-e40a-46e7-8bff-e3c9622091b2,alex-nicholson,Alex Nicholson,queued,
0ed5dc24-13af-475e-a5be-7bfaeb447f6e,alex-poindexter,Alex Poindexter,queued,
9cd767e3-6e58-45a2-b489-02b816112b4b,alex-reed,Alex Reed,queued,
3697d635-0fdd-439d-a6bd-8c775ca0e86c,alex-shkilnuk,Alex Shkilnuk,queued,
d9bafe80-fda2-4746-8e88-88569aaa551c,alex-sologub,Alex Sologub,queued,
