name,candidate_existing_matches,status,source_url
Larry Morlan,Larry Morlan,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Jean Gump,Jean Gump,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Ken Rippetoe,Ken Rippetoe,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
John Volpe,John Volpe,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Dexter Lanctot,Dexter Lanctot,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Thomas McGann,Thomas McGann,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Lin Romano,Lin Romano,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Pat Sieber,Pat Sieber,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Rick Sieber,Rick Sieber,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Katya Komisaruk,Katya Komisaruk,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Jerry Ebner,"Gerald ""Jerry"" Ebner; Jerry Ebner",candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Joe Gump,Joe Gump,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Margaret Brodhead,Margaret Brodhead,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Dan Ethier,Dan Ethier,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Tom Lewis,Tom Lewis,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
George Ostensen,George Ostensen,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Andrew Lawrence,Andrew Lawrence,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Margaret McKenna,Margaret McKenna,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Kathleen Maire,Kathleen Maire,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Jack Marth,Jack Marth,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Christine Mulready,Christine Mulready,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Kathy Boylan,Kathy Boylan,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Jim Reale,Jim Reale,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Homer White,,needs_alias_and_custody_check,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Susan Rodriguez,Susan Rodriguez,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Moana Cole,Moana Cole,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Ciaron O Reilly,Ciaron O'Reilly,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Susan Frankel,Susan Frankel,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Bill Streit,Bill Streit,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Barry Roth,Barry Roth,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Daniel Sicken,Daniel Sicken,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Keith Kjoller,Keith Kjoller,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Peter Lumsdaine,Peter Lumsdaine,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Michele Naar Obed,Michele Naar-Obed,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
John Dear,John Dear,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Lynn Fredriksson,Lynn Fredriksson,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Bruce Friedrich,Bruce Friedrich,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Donna Howard Hastings,Donna Howard-Hastings,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Tom Howard Hastings,Tom Hastings,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Susan Crane,Susan Crane,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Steve Baggarly,Steve Baggarly,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Mark Colville,Mark Colville,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Steve Kelly,Steve Kelly SJ,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
